Plant_Code,Plant_Name,Latitude,Longitude,Name_of_Water_Source,Primary_Purpose_NAICS_Code,Sector_Name,Grid_Voltage_kV
54666,SteamboatIII,39.394444,-119.7475,Wells,22,IPPNon-CHP,120
55390,StateFarmInsurSupportCenterCentral,32.9192,-96.9894,Municipality,521,CommercialNon-CHP,25
56035,SmithfieldPackagedMeatsCorp.,35.694344,-77.91919,Municipality,22,IPPCHP,12.5
1326,Sterling,38.2143,-98.2071,Municipality,22,ElectricUtility,34.5
50513,StillwaterReservoirHydro,43.897386,-75.04,BeaverRiver,22,IPPNon-CHP,34.5
3000,BoomerLakeStation,36.1438,-97.0681,BoomerLake,22,ElectricUtility,13
55987,StillwaterWaterTreatmentPlant,36.2039,-97.0739,NA,22,ElectricUtility,13
59647,StillwaterEnergyCenter,36.161944,-97.036944,Municipality,22,ElectricUtility,69
1327,Stockton,39.43619,-99.27793,Municipality,22,ElectricUtility,34.5
50813,HopewellMill,37.2914,-77.2816,Appomatox&JamesRivers,32213,IndustrialCHP,13.8
50810,WestrockHodge(LA),32.2752,-92.7277,Wells,322122,IndustrialCHP,13.8
50807,WestRockPanamaCityMill,30.141984,-85.621103,Municipality,322122,IndustrialCHP,40
50806,FlorenceMill,34.1497,-79.5606,GreatPeeDeeRiver,322122,IndustrialCHP,115
54845,SunTrustPlaza,33.7625,-84.3872,CityOfAtlanta,521,CommercialNon-CHP,19.8
1188,StoryCity,42.186076,-93.600479,Municipality,22,ElectricUtility,34.5
54653,Kanaka,39.558897,-121.296117,SuckerRunCreek,22,IPPNon-CHP,12
50435,SugarloafHydroPlant,39.252672,-106.374808,ArkansasRiver,22,IPPNon-CHP,13.4
54969,DixonHydroelectricDam,41.845306,-89.481286,RockRiver,22,IPPNon-CHP,34.5
54654,KekawakaPowerHouse,40.0941,-123.508983,Kekawaka,22,IPPNon-CHP,60
1189,StrawberryPoint,42.684444,-91.535555,Municipality,22,ElectricUtility,13.8
7926,SouthStrawberry,42.7114,-91.5469,Municipality,22,ElectricUtility,13.8
3691,SpanishFork,40.080042,-111.604846,StrawberryReservoir,22,ElectricUtility,46
2305,Stuart(NE),42.599377,-99.143707,Municipality,22,ElectricUtility,2.4
7857,GilliamSouth,41.496111,-94.327222,Municipality,22,ElectricUtility,34.5
1190,Stuart(IA),41.503889,-94.3172,Municipality,22,ElectricUtility,34.5
54655,SchoolfieldDam,36.576778,-79.432503,DanRiver,22,IPPNon-CHP,13.9
